SentenceID,NounScore,VerbScore,"Noun Only   (1.0, 0.0)","Verb Only   (0.0, 1.0)","Equal       (0.5, 0.5)","Noun-heavy  (0.7, 0.3)","Verb-heavy  (0.3, 0.7)"
1,0.53288,0.797222,0.53288,0.797222,0.665051,0.612183,0.71792
2,0.350524,0.597481,0.350524,0.597481,0.474003,0.424611,0.523394
3,0.416845,0.115114,0.416845,0.115114,0.26598,0.326326,0.205634
4,0.410715,0.214072,0.410715,0.214072,0.312394,0.351722,0.273065
5,0.355769,0.564587,0.355769,0.564587,0.460178,0.418415,0.501942
6,0.4,0.701515,0.4,0.701515,0.550758,0.490455,0.611061
7,0.368056,0.284157,0.368056,0.284157,0.326106,0.342886,0.309326
8,0.443825,0.715891,0.443825,0.715891,0.579858,0.525445,0.634271
9,0.448923,0.734459,0.448923,0.734459,0.591691,0.534584,0.648798
10,0.442383,0.487516,0.442383,0.487516,0.464949,0.455923,0.473976
11,0.439763,0.3976,0.439763,0.3976,0.418681,0.427114,0.410249
12,0.230177,0.408235,0.230177,0.408235,0.319206,0.283594,0.354818
13,0.371989,0.619829,0.371989,0.619829,0.495909,0.446341,0.545477
14,0.356269,0.436911,0.356269,0.436911,0.39659,0.380462,0.412719
15,0.431881,0.452143,0.431881,0.452143,0.442012,0.43796,0.446064
16,0.401716,0.364929,0.401716,0.364929,0.383322,0.39068,0.375965
17,0.214655,0.679395,0.214655,0.679395,0.447025,0.354077,0.539973
18,0.219516,0.050183,0.219516,0.050183,0.13485,0.168716,0.100983
19,0.196905,0.079444,0.196905,0.079444,0.138175,0.161667,0.114683
20,0.215274,0.191868,0.215274,0.191868,0.203571,0.208252,0.19889
21,0.350649,0.590842,0.350649,0.590842,0.470746,0.422707,0.518784
22,0.20741,0.322347,0.20741,0.322347,0.264878,0.241891,0.287866
23,0.446724,0.298345,0.446724,0.298345,0.372534,0.40221,0.342859
24,0.349066,0.040952,0.349066,0.040952,0.195009,0.256632,0.133387
25,0.349031,0.151924,0.349031,0.151924,0.250477,0.289899,0.211056
26,0.431006,0.075952,0.431006,0.075952,0.253479,0.32449,0.182468
27,0.222222,0.028205,0.222222,0.028205,0.125214,0.164017,0.08641
28,0.333614,0.038919,0.333614,0.038919,0.186267,0.245206,0.127328
29,0.369615,0.376204,0.369615,0.376204,0.37291,0.371592,0.374228
30,0.349158,0.400095,0.349158,0.400095,0.374626,0.364439,0.384814
31,0.413714,0.497372,0.413714,0.497372,0.455543,0.438811,0.472274
32,0.42785,0.178538,0.42785,0.178538,0.303194,0.353056,0.253332
33,0.433169,0.254891,0.433169,0.254891,0.34403,0.379685,0.308374
34,0.356619,0.761538,0.356619,0.761538,0.559079,0.478095,0.640063
35,0.228472,0.644654,0.228472,0.644654,0.436563,0.353327,0.519799
36,0.359566,0.655115,0.359566,0.655115,0.507341,0.448231,0.56645
37,0.343283,0.705059,0.343283,0.705059,0.524171,0.451816,0.596526
38,0.375133,0.77972,0.375133,0.77972,0.577427,0.496509,0.658344
39,0.414165,0.155837,0.414165,0.155837,0.285001,0.336666,0.233335
40,0.313131,0.08,0.313131,0.08,0.196566,0.243192,0.149939
41,0.258333,0.015385,0.258333,0.015385,0.136859,0.185449,0.088269
42,0.377369,0.015385,0.377369,0.015385,0.196377,0.268774,0.12398
43,0.387768,0.523077,0.387768,0.523077,0.455422,0.42836,0.482484
44,0.361588,0.42838,0.361588,0.42838,0.394984,0.381626,0.408342
45,0.376137,0.349831,0.376137,0.349831,0.362984,0.368245,0.357723
46,0.303384,0.313712,0.303384,0.313712,0.308548,0.306483,0.310614
47,0.333072,0.124351,0.333072,0.124351,0.228711,0.270456,0.186967
48,0.383783,0.227459,0.383783,0.227459,0.305621,0.336886,0.274356
49,0.214294,0.588519,0.214294,0.588519,0.401406,0.326561,0.476251
50,0.362395,0.3595,0.362395,0.3595,0.360948,0.361527,0.360369
51,0.358559,0.898509,0.358559,0.898509,0.628534,0.520544,0.736524
52,0.466691,0.761111,0.466691,0.761111,0.613901,0.555017,0.672785
53,0.394374,0.225855,0.394374,0.225855,0.310115,0.343819,0.276411
54,0.356315,0.429696,0.356315,0.429696,0.393005,0.378329,0.407682
55,0.285342,0.747476,0.285342,0.747476,0.516409,0.423982,0.608836
56,0.390772,0.601355,0.390772,0.601355,0.496063,0.453947,0.53818
57,0.366117,0.25631,0.366117,0.25631,0.311213,0.333175,0.289252
58,0.437668,0.521429,0.437668,0.521429,0.479548,0.462796,0.4963
59,0.463407,0.296994,0.463407,0.296994,0.380201,0.413483,0.346918
60,0.49885,0.151472,0.49885,0.151472,0.325161,0.394637,0.255685
61,0.277871,0.779866,0.277871,0.779866,0.528869,0.428469,0.629268
62,0.309524,0.52742,0.309524,0.52742,0.418472,0.374893,0.462051
63,0.456038,0.613827,0.456038,0.613827,0.534933,0.503375,0.56649
64,0.398991,0.687778,0.398991,0.687778,0.543385,0.485627,0.601142
