SentenceID,NounScore,VerbScore,"Noun Only   (1.0, 0.0)","Verb Only   (0.0, 1.0)","Equal       (0.5, 0.5)","Noun-heavy  (0.7, 0.3)","Verb-heavy  (0.3, 0.7)"
1,0.087347,0.888889,0.087347,0.888889,0.488118,0.32781,0.648426
2,0.103571,0.636322,0.103571,0.636322,0.369947,0.263397,0.476497
3,0.116667,0.333333,0.116667,0.333333,0.225,0.181667,0.268333
4,0.175,0.0,0.175,0.0,0.0875,0.1225,0.0525
5,0.081003,0.5,0.081003,0.5,0.290502,0.206702,0.374301
6,0.20625,0.051389,0.20625,0.051389,0.128819,0.159792,0.097847
7,0.106458,0.069848,0.106458,0.069848,0.088153,0.095475,0.080831
8,0.227976,0.769884,0.227976,0.769884,0.49893,0.390548,0.607311
9,0.227273,0.666667,0.227273,0.666667,0.44697,0.359091,0.534848
10,0.17697,0.0,0.17697,0.0,0.088485,0.123879,0.053091
11,0.143519,0.0,0.143519,0.0,0.071759,0.100463,0.043056
12,0.207692,0.0,0.207692,0.0,0.103846,0.145385,0.062308
13,0.150564,0.470531,0.150564,0.470531,0.310548,0.246554,0.374541
14,0.175905,0.12963,0.175905,0.12963,0.152767,0.162023,0.143512
15,0.067901,0.110145,0.067901,0.110145,0.089023,0.080574,0.097472
16,0.309583,0.102778,0.309583,0.102778,0.206181,0.247542,0.164819
17,0.14646,0.0,0.14646,0.0,0.07323,0.102522,0.043938
18,0.215,0.4,0.215,0.4,0.3075,0.2705,0.3445
19,0.163494,0.1875,0.163494,0.1875,0.175497,0.170696,0.180298
20,0.085938,0.0,0.085938,0.0,0.042969,0.060156,0.025781
21,0.157754,0.064236,0.157754,0.064236,0.110995,0.129699,0.092291
22,0.068182,0.0,0.068182,0.0,0.034091,0.047727,0.020455
23,0.070312,0.044444,0.070312,0.044444,0.057378,0.062552,0.052205
24,0.133929,0.0,0.133929,0.0,0.066964,0.09375,0.040179
25,0.117284,0.305556,0.117284,0.305556,0.21142,0.173765,0.249074
26,0.280556,0.25,0.280556,0.25,0.265278,0.271389,0.259167
27,0.230159,0.248571,0.230159,0.248571,0.239365,0.235683,0.243048
28,0.16875,0.5,0.16875,0.5,0.334375,0.268125,0.400625
29,0.185185,0.065497,0.185185,0.065497,0.125341,0.149279,0.101404
30,0.067284,0.125,0.067284,0.125,0.096142,0.084599,0.107685
31,0.181818,0.25,0.181818,0.25,0.215909,0.202273,0.229545
32,0.241259,0.083333,0.241259,0.083333,0.162296,0.193881,0.130711
33,0.266667,0.487654,0.266667,0.487654,0.37716,0.332963,0.421358
34,0.246528,0.25,0.246528,0.25,0.248264,0.247569,0.248958
35,0.196296,0.0,0.196296,0.0,0.098148,0.137407,0.058889
36,0.071429,0.0,0.071429,0.0,0.035714,0.05,0.021429
37,0.074074,0.0,0.074074,0.0,0.037037,0.051852,0.022222
38,0.078125,0.0,0.078125,0.0,0.039062,0.054688,0.023438
39,0.392857,0.5,0.392857,0.5,0.446429,0.425,0.467857
40,0.140496,0.283333,0.140496,0.283333,0.211915,0.183347,0.240482
41,0.105,0.0,0.105,0.0,0.0525,0.0735,0.0315
42,0.086538,0.2,0.086538,0.2,0.143269,0.120577,0.165962
43,0.09375,0.0,0.09375,0.0,0.046875,0.065625,0.028125
44,0.097218,0.025,0.097218,0.025,0.061109,0.075553,0.046665
45,0.136364,0.080952,0.136364,0.080952,0.108658,0.11974,0.097576
46,0.155556,0.095833,0.155556,0.095833,0.125694,0.137639,0.11375
47,0.14373,0.100319,0.14373,0.100319,0.122024,0.130706,0.113342
48,0.074074,0.622222,0.074074,0.622222,0.348148,0.238519,0.457778
49,0.069444,0.311111,0.069444,0.311111,0.190278,0.141944,0.238611
50,0.212963,0.064583,0.212963,0.064583,0.138773,0.168449,0.109097
51,0.042882,0.666667,0.042882,0.666667,0.354774,0.230017,0.479531
52,0.165885,0.2,0.165885,0.2,0.182943,0.17612,0.189766
53,0.161111,0.333333,0.161111,0.333333,0.247222,0.212778,0.281667
54,0.017105,0.0,0.017105,0.0,0.008553,0.011974,0.005132
55,0.007793,0.051667,0.007793,0.051667,0.02973,0.020955,0.038505
56,0.060606,0.0,0.060606,0.0,0.030303,0.042424,0.018182
57,0.117856,0.0,0.117856,0.0,0.058928,0.082499,0.035357
58,0.150482,0.340278,0.150482,0.340278,0.24538,0.207421,0.283339
59,0.202429,0.0,0.202429,0.0,0.101215,0.1417,0.060729
60,0.275,0.25,0.275,0.25,0.2625,0.2675,0.2575
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.071429,0.64,0.071429,0.64,0.355714,0.242,0.469429
63,0.105385,0.0,0.105385,0.0,0.052692,0.073769,0.031615
64,0.104545,0.121429,0.104545,0.121429,0.112987,0.10961,0.116364
65,0.166667,0.0,0.166667,0.0,0.083333,0.116667,0.05
66,0.091667,0.0,0.091667,0.0,0.045833,0.064167,0.0275
67,0.161538,0.0,0.161538,0.0,0.080769,0.113077,0.048462
68,0.111111,0.5,0.111111,0.5,0.305556,0.227778,0.383333
69,0.222222,0.25,0.222222,0.25,0.236111,0.230556,0.241667
70,0.105442,0.0,0.105442,0.0,0.052721,0.07381,0.031633
71,0.083333,0.333333,0.083333,0.333333,0.208333,0.158333,0.258333
72,0.180556,0.0,0.180556,0.0,0.090278,0.126389,0.054167
73,0.155556,0.0,0.155556,0.0,0.077778,0.108889,0.046667
74,0.17284,0.0,0.17284,0.0,0.08642,0.120988,0.051852
75,0.154762,1.0,0.154762,1.0,0.577381,0.408333,0.746429
76,0.23125,0.055556,0.23125,0.055556,0.143403,0.178542,0.108264
77,0.145833,0.0,0.145833,0.0,0.072917,0.102083,0.04375
78,0.116213,0.0,0.116213,0.0,0.058107,0.081349,0.034864
79,0.280093,0.378139,0.280093,0.378139,0.329116,0.309506,0.348725
80,0.105159,0.0,0.105159,0.0,0.052579,0.073611,0.031548
81,0.013889,0.398958,0.013889,0.398958,0.206424,0.12941,0.283437
82,0.136574,0.030556,0.136574,0.030556,0.083565,0.104769,0.062361
83,0.136111,0.029412,0.136111,0.029412,0.082761,0.104101,0.061422
84,0.013889,0.425,0.013889,0.425,0.219444,0.137222,0.301667
85,0.097222,0.0,0.097222,0.0,0.048611,0.068056,0.029167
86,0.04,0.0,0.04,0.0,0.02,0.028,0.012
87,0.264444,0.180556,0.264444,0.180556,0.2225,0.239278,0.205722
88,0.177937,0.0,0.177937,0.0,0.088968,0.124556,0.053381
89,0.212963,0.090278,0.212963,0.090278,0.15162,0.176157,0.127083
90,0.181818,0.0,0.181818,0.0,0.090909,0.127273,0.054545
91,0.264463,0.0,0.264463,0.0,0.132231,0.185124,0.079339
92,0.140496,0.384112,0.140496,0.384112,0.262304,0.213581,0.311027
93,0.055556,0.834371,0.055556,0.834371,0.444963,0.2892,0.600726
94,0.185394,0.0,0.185394,0.0,0.092697,0.129776,0.055618
95,0.1,0.333333,0.1,0.333333,0.216667,0.17,0.263333
96,0.083333,0.333333,0.083333,0.333333,0.208333,0.158333,0.258333
97,0.081633,0.0,0.081633,0.0,0.040816,0.057143,0.02449
98,0.020408,0.0,0.020408,0.0,0.010204,0.014286,0.006122
99,0.02,0.0,0.02,0.0,0.01,0.014,0.006
100,0.13125,0.645128,0.13125,0.645128,0.388189,0.285413,0.490965
101,0.0625,0.0,0.0625,0.0,0.03125,0.04375,0.01875
102,0.071429,0.12037,0.071429,0.12037,0.095899,0.086111,0.105688
103,0.279221,0.444444,0.279221,0.444444,0.361833,0.328788,0.394877
104,0.3,0.094444,0.3,0.094444,0.197222,0.238333,0.156111
105,0.110065,0.583333,0.110065,0.583333,0.346699,0.252045,0.441353
106,0.126063,0.0,0.126063,0.0,0.063031,0.088244,0.037819
107,0.221486,0.273675,0.221486,0.273675,0.247581,0.237143,0.258018
108,0.14119,0.025641,0.14119,0.025641,0.083416,0.106526,0.060306
109,0.128452,0.336829,0.128452,0.336829,0.23264,0.190965,0.274316
110,0.010204,0.0,0.010204,0.0,0.005102,0.007143,0.003061
111,0.189822,0.438889,0.189822,0.438889,0.314356,0.264542,0.364169
112,0.197727,0.61613,0.197727,0.61613,0.406929,0.323248,0.490609
113,0.193827,0.071389,0.193827,0.071389,0.132608,0.157096,0.10812
114,0.091837,0.666667,0.091837,0.666667,0.379252,0.264286,0.494218
115,0.209402,0.0,0.209402,0.0,0.104701,0.146581,0.062821
116,0.152742,0.0,0.152742,0.0,0.076371,0.106919,0.045823
117,0.125,0.590278,0.125,0.590278,0.357639,0.264583,0.450694
118,0.083333,0.472222,0.083333,0.472222,0.277778,0.2,0.355556
119,0.15,0.572917,0.15,0.572917,0.361458,0.276875,0.446042
120,0.068182,0.0,0.068182,0.0,0.034091,0.047727,0.020455
121,0.088889,0.680556,0.088889,0.680556,0.384722,0.266389,0.503056
122,0.02,0.0,0.02,0.0,0.01,0.014,0.006
123,0.006173,0.180556,0.006173,0.180556,0.093364,0.058488,0.128241
124,0.049587,0.090278,0.049587,0.090278,0.069932,0.061794,0.07807
125,0.07963,0.101282,0.07963,0.101282,0.090456,0.086125,0.094786
126,0.055556,0.279365,0.055556,0.279365,0.16746,0.122698,0.212222
127,0.04,0.0,0.04,0.0,0.02,0.028,0.012
128,0.046652,0.5,0.046652,0.5,0.273326,0.182657,0.363996
129,0.026667,0.0,0.026667,0.0,0.013333,0.018667,0.008
130,0.052734,0.612821,0.052734,0.612821,0.332777,0.22076,0.444795
131,0.015556,0.492826,0.015556,0.492826,0.254191,0.158737,0.349645
132,0.140496,0.090278,0.140496,0.090278,0.115387,0.12543,0.105343
133,0.08022,0.148148,0.08022,0.148148,0.114184,0.100598,0.12777
134,0.095041,0.0,0.095041,0.0,0.047521,0.066529,0.028512
135,0.268519,0.166667,0.268519,0.166667,0.217593,0.237963,0.197222
136,0.238462,0.0,0.238462,0.0,0.119231,0.166923,0.071538
137,0.166667,0.0,0.166667,0.0,0.083333,0.116667,0.05
138,0.2,0.377083,0.2,0.377083,0.288542,0.253125,0.323958
139,0.186364,0.423611,0.186364,0.423611,0.304987,0.257538,0.352437
140,0.205556,0.184524,0.205556,0.184524,0.19504,0.199246,0.190833
141,0.15,0.074786,0.15,0.074786,0.112393,0.127436,0.09735
142,0.117284,0.0,0.117284,0.0,0.058642,0.082099,0.035185
143,0.06,0.25,0.06,0.25,0.155,0.117,0.193
144,0.065,0.0,0.065,0.0,0.0325,0.0455,0.0195
145,0.123457,0.0,0.123457,0.0,0.061728,0.08642,0.037037
146,0.154762,0.0,0.154762,0.0,0.077381,0.108333,0.046429
147,0.29,0.0,0.29,0.0,0.145,0.203,0.087
148,0.286364,0.0,0.286364,0.0,0.143182,0.200455,0.085909
149,0.166667,0.0,0.166667,0.0,0.083333,0.116667,0.05
150,0.2,0.666667,0.2,0.666667,0.433333,0.34,0.526667
151,0.1875,0.666667,0.1875,0.666667,0.427083,0.33125,0.522917
152,0.080247,0.0,0.080247,0.0,0.040123,0.056173,0.024074
153,0.007812,0.22619,0.007812,0.22619,0.117001,0.073326,0.160677
154,0.180045,0.666229,0.180045,0.666229,0.423137,0.325901,0.520374
155,0.126263,0.472222,0.126263,0.472222,0.299242,0.230051,0.368434
156,0.11,0.666667,0.11,0.666667,0.388333,0.277,0.499667
157,0.090278,0.178451,0.090278,0.178451,0.134364,0.11673,0.151999
158,0.090909,0.353704,0.090909,0.353704,0.222306,0.169747,0.274865
159,0.010204,0.75,0.010204,0.75,0.380102,0.232143,0.528061
160,0.007812,0.2,0.007812,0.2,0.103906,0.065469,0.142344
161,0.131143,0.160256,0.131143,0.160256,0.1457,0.139877,0.151522
162,0.027778,0.63,0.027778,0.63,0.328889,0.208444,0.449333
163,0.193878,0.303333,0.193878,0.303333,0.248605,0.226714,0.270497
164,0.161905,0.25,0.161905,0.25,0.205952,0.188333,0.223571
165,0.246411,0.25,0.246411,0.25,0.248206,0.247488,0.248923
166,0.181818,0.078914,0.181818,0.078914,0.130366,0.150947,0.109785
167,0.117284,0.0,0.117284,0.0,0.058642,0.082099,0.035185
168,0.133308,0.0,0.133308,0.0,0.066654,0.093316,0.039993
169,0.120588,0.180556,0.120588,0.180556,0.150572,0.138578,0.162565
170,0.270667,0.088696,0.270667,0.088696,0.179681,0.216075,0.143287
171,0.257937,0.0,0.257937,0.0,0.128968,0.180556,0.077381
172,0.3,0.555556,0.3,0.555556,0.427778,0.376667,0.478889
173,0.023438,0.358586,0.023438,0.358586,0.191012,0.123982,0.258041
174,0.205357,0.0,0.205357,0.0,0.102679,0.14375,0.061607
175,0.0875,0.131054,0.0875,0.131054,0.109277,0.100566,0.117988
176,0.253968,0.359524,0.253968,0.359524,0.306746,0.285635,0.327857
177,0.119048,0.364583,0.119048,0.364583,0.241815,0.192708,0.290923
178,0.119048,0.399306,0.119048,0.399306,0.259177,0.203125,0.315228
179,0.085938,0.280303,0.085938,0.280303,0.18312,0.144247,0.221993
180,0.030612,0.040404,0.030612,0.040404,0.035508,0.03355,0.037467
181,0.161012,0.0,0.161012,0.0,0.080506,0.112708,0.048304
182,0.15035,0.666667,0.15035,0.666667,0.408508,0.305245,0.511772
183,0.337701,0.399412,0.337701,0.399412,0.368556,0.356214,0.380898
184,0.072222,0.333333,0.072222,0.333333,0.202778,0.150556,0.255
185,0.106576,0.118056,0.106576,0.118056,0.112316,0.11002,0.114612
186,0.22,0.148148,0.22,0.148148,0.184074,0.198444,0.169704
187,0.132812,0.663139,0.132812,0.663139,0.397976,0.291911,0.504041
188,0.080247,0.461283,0.080247,0.461283,0.270765,0.194558,0.346972
189,0.12963,0.111111,0.12963,0.111111,0.12037,0.124074,0.116667
190,0.182292,0.122222,0.182292,0.122222,0.152257,0.164271,0.140243
191,0.070312,0.0,0.070312,0.0,0.035156,0.049219,0.021094
192,0.212303,0.060714,0.212303,0.060714,0.136509,0.166826,0.106191
193,0.134921,0.0,0.134921,0.0,0.06746,0.094444,0.040476
194,0.117284,0.0,0.117284,0.0,0.058642,0.082099,0.035185
195,0.249026,0.0,0.249026,0.0,0.124513,0.174318,0.074708
196,0.095238,0.300625,0.095238,0.300625,0.197932,0.156854,0.239009
197,0.125238,0.5,0.125238,0.5,0.312619,0.237667,0.387572
198,0.207452,0.0,0.207452,0.0,0.103726,0.145217,0.062236
199,0.163832,0.0,0.163832,0.0,0.081916,0.114683,0.04915
200,0.155556,0.479365,0.155556,0.479365,0.31746,0.252698,0.382222
201,0.165385,0.0,0.165385,0.0,0.082692,0.115769,0.049615
202,0.206349,0.343838,0.206349,0.343838,0.275094,0.247596,0.302592
203,0.209877,0.157407,0.209877,0.157407,0.183642,0.194136,0.173148
204,0.222222,0.378611,0.222222,0.378611,0.300417,0.269139,0.331694
205,0.212963,0.157407,0.212963,0.157407,0.185185,0.196296,0.174074
206,0.15,0.166667,0.15,0.166667,0.158333,0.155,0.161667
207,0.067901,0.044444,0.067901,0.044444,0.056173,0.060864,0.051481
208,0.240741,0.171429,0.240741,0.171429,0.206085,0.219947,0.192222
209,0.081633,0.4,0.081633,0.4,0.240816,0.177143,0.30449
210,0.237071,0.050625,0.237071,0.050625,0.143848,0.181137,0.106559
211,0.266484,0.333333,0.266484,0.333333,0.299908,0.286538,0.313278
212,0.16409,0.0,0.16409,0.0,0.082045,0.114863,0.049227
213,0.115,0.0,0.115,0.0,0.0575,0.0805,0.0345
214,0.089472,0.771348,0.089472,0.771348,0.43041,0.294034,0.566785
215,0.105,0.0,0.105,0.0,0.0525,0.0735,0.0315
216,0.117094,0.0,0.117094,0.0,0.058547,0.081966,0.035128
217,0.155385,0.0,0.155385,0.0,0.077692,0.108769,0.046615
218,0.146875,0.333333,0.146875,0.333333,0.240104,0.202813,0.277396
219,0.155556,0.086111,0.155556,0.086111,0.120833,0.134722,0.106944
220,0.233333,0.310714,0.233333,0.310714,0.272024,0.256548,0.2875
221,0.098485,0.542196,0.098485,0.542196,0.320341,0.231598,0.409083
222,0.09474,0.32,0.09474,0.32,0.20737,0.162318,0.252422
223,0.293434,0.475397,0.293434,0.475397,0.384416,0.348023,0.420808
224,0.268889,0.125,0.268889,0.125,0.196944,0.225722,0.168167
225,0.241667,0.333333,0.241667,0.333333,0.2875,0.269167,0.305833
226,0.165385,0.0,0.165385,0.0,0.082692,0.115769,0.049615
227,0.113333,1.0,0.113333,1.0,0.556667,0.379333,0.734
228,0.253611,0.0,0.253611,0.0,0.126806,0.177528,0.076083
229,0.170833,0.0,0.170833,0.0,0.085417,0.119583,0.05125
230,0.266667,0.0,0.266667,0.0,0.133333,0.186667,0.08
231,0.214286,0.0,0.214286,0.0,0.107143,0.15,0.064286
232,0.286713,0.333333,0.286713,0.333333,0.310023,0.300699,0.319347
233,0.232955,0.0,0.232955,0.0,0.116477,0.163068,0.069886
234,0.232323,1.0,0.232323,1.0,0.616162,0.462626,0.769697
235,0.081633,0.945185,0.081633,0.945185,0.513409,0.340698,0.686119
236,0.28125,0.5,0.28125,0.5,0.390625,0.346875,0.434375
237,0.1875,0.327778,0.1875,0.327778,0.257639,0.229583,0.285694
238,0.351852,0.5,0.351852,0.5,0.425926,0.396296,0.455556
239,0.041667,0.0,0.041667,0.0,0.020833,0.029167,0.0125
240,0.111395,0.496032,0.111395,0.496032,0.303713,0.226786,0.380641
241,0.115,1.0,0.115,1.0,0.5575,0.3805,0.7345
242,0.129231,0.632937,0.129231,0.632937,0.381084,0.280342,0.481825
243,0.074074,1.0,0.074074,1.0,0.537037,0.351852,0.722222
244,0.212743,0.435516,0.212743,0.435516,0.324129,0.279575,0.368684
245,0.029514,0.159722,0.029514,0.159722,0.094618,0.068576,0.12066
246,0.306863,0.164792,0.306863,0.164792,0.235827,0.264241,0.207413
247,0.1,0.146111,0.1,0.146111,0.123056,0.113833,0.132278
248,0.116667,0.5,0.116667,0.5,0.308333,0.231667,0.385
249,0.008264,0.071111,0.008264,0.071111,0.039688,0.027118,0.052257
250,0.223155,0.0,0.223155,0.0,0.111577,0.156208,0.066946
251,0.155556,0.0,0.155556,0.0,0.077778,0.108889,0.046667
252,0.233333,0.5,0.233333,0.5,0.366667,0.313333,0.42
253,0.264213,0.25,0.264213,0.25,0.257107,0.259949,0.254264
254,0.203571,0.25,0.203571,0.25,0.226786,0.2175,0.236071
255,0.132812,0.25,0.132812,0.25,0.191406,0.167969,0.214844
256,0.078125,0.5,0.078125,0.5,0.289062,0.204687,0.373437
