SentenceID,NounScore,VerbScore,"Noun Only   (1.0, 0.0)","Verb Only   (0.0, 1.0)","Equal       (0.5, 0.5)","Noun-heavy  (0.7, 0.3)","Verb-heavy  (0.3, 0.7)"
1,0.327473,0.133333,0.327473,0.133333,0.230403,0.269231,0.191575
2,0.3,0.306834,0.3,0.306834,0.303417,0.30205,0.304784
3,0.332917,0.369004,0.332917,0.369004,0.35096,0.343743,0.358177
4,0.346154,0.359028,0.346154,0.359028,0.352591,0.350016,0.355166
5,0.3125,0.313492,0.3125,0.313492,0.312996,0.312798,0.313194
6,0.322377,0.251445,0.322377,0.251445,0.286911,0.301097,0.272725
7,0.317771,0.235781,0.317771,0.235781,0.276776,0.293174,0.260378
8,0.295297,0.178219,0.295297,0.178219,0.236758,0.260173,0.213342
9,0.329117,0.355609,0.329117,0.355609,0.342363,0.337065,0.347661
10,0.268707,0.340625,0.268707,0.340625,0.304666,0.290283,0.31905
11,0.228571,0.404514,0.228571,0.404514,0.316543,0.281354,0.351731
12,0.306762,0.204067,0.306762,0.204067,0.255415,0.275954,0.234876
13,0.344658,0.232887,0.344658,0.232887,0.288773,0.311127,0.266418
14,0.406875,0.214501,0.406875,0.214501,0.310688,0.349163,0.272213
15,0.296181,0.065972,0.296181,0.065972,0.181076,0.227118,0.135035
16,0.384722,0.082176,0.384722,0.082176,0.233449,0.293958,0.17294
17,0.339829,0.287762,0.339829,0.287762,0.313796,0.324209,0.303382
18,0.384959,0.396506,0.384959,0.396506,0.390733,0.388423,0.393042
19,0.213985,0.130451,0.213985,0.130451,0.172218,0.188925,0.155511
20,0.232692,0.175433,0.232692,0.175433,0.204063,0.215514,0.192611
21,0.359127,0.120635,0.359127,0.120635,0.239881,0.287579,0.192183
22,0.343096,0.39999,0.343096,0.39999,0.371543,0.360164,0.382921
23,0.280952,0.320465,0.280952,0.320465,0.300709,0.292806,0.308611
24,0.259259,0.258333,0.259259,0.258333,0.258796,0.258981,0.258611
25,0.294643,0.387897,0.294643,0.387897,0.34127,0.322619,0.359921
26,0.311111,0.234335,0.311111,0.234335,0.272723,0.288078,0.257368
27,0.40625,0.423568,0.40625,0.423568,0.414909,0.411445,0.418372
28,0.40625,0.432645,0.40625,0.432645,0.419447,0.414168,0.424726
29,0.40625,0.423568,0.40625,0.423568,0.414909,0.411445,0.418372
30,0.336129,0.232888,0.336129,0.232888,0.284509,0.305157,0.263861
31,0.314112,0.169444,0.314112,0.169444,0.241778,0.270712,0.212845
32,0.294118,0.076257,0.294118,0.076257,0.185187,0.228759,0.141615
33,0.325735,0.131481,0.325735,0.131481,0.228608,0.267459,0.189758
34,0.355952,0.296517,0.355952,0.296517,0.326235,0.338122,0.314347
35,0.276329,0.25369,0.276329,0.25369,0.265009,0.269537,0.260482
36,0.307407,0.257427,0.307407,0.257427,0.282417,0.292413,0.272421
37,0.383333,0.284712,0.383333,0.284712,0.334023,0.353747,0.314298
38,0.358974,0.2403,0.358974,0.2403,0.299637,0.323372,0.275903
39,0.380208,0.346631,0.380208,0.346631,0.36342,0.370135,0.356704
40,0.27037,0.271982,0.27037,0.271982,0.271176,0.270854,0.271498
41,0.305072,0.248661,0.305072,0.248661,0.276866,0.288149,0.265584
42,0.323636,0.36086,0.323636,0.36086,0.342248,0.334803,0.349693
43,0.352053,0.262029,0.352053,0.262029,0.307041,0.325046,0.289036
44,0.417659,0.316071,0.417659,0.316071,0.366865,0.387183,0.346548
45,0.316246,0.26313,0.316246,0.26313,0.289688,0.300312,0.279065
46,0.266414,0.088757,0.266414,0.088757,0.177585,0.213117,0.142054
47,0.336538,0.116964,0.336538,0.116964,0.226751,0.270666,0.182837
48,0.350159,0.106944,0.350159,0.106944,0.228552,0.277194,0.179909
49,0.338384,0.12904,0.338384,0.12904,0.233712,0.275581,0.191843
50,0.358056,0.131944,0.358056,0.131944,0.245,0.290222,0.199778
51,0.327381,0.368074,0.327381,0.368074,0.347727,0.339589,0.355866
52,0.324311,0.075463,0.324311,0.075463,0.199887,0.249657,0.150118
53,0.317708,0.359791,0.317708,0.359791,0.33875,0.330333,0.347166
54,0.348656,0.111772,0.348656,0.111772,0.230214,0.277591,0.182838
55,0.321212,0.2,0.321212,0.2,0.260606,0.284848,0.236364
56,0.397119,0.071429,0.397119,0.071429,0.234274,0.299412,0.169136
57,0.408179,0.398942,0.408179,0.398942,0.40356,0.405408,0.401713
58,0.329475,0.387928,0.329475,0.387928,0.358702,0.347011,0.370392
59,0.34,0.317463,0.34,0.317463,0.328732,0.333239,0.324224
60,0.328431,0.281509,0.328431,0.281509,0.30497,0.314355,0.295585
61,0.271825,0.32492,0.271825,0.32492,0.298373,0.287754,0.308992
62,0.358333,0.3805,0.358333,0.3805,0.369417,0.364983,0.37385
63,0.392014,0.274074,0.392014,0.274074,0.333044,0.356632,0.309456
64,0.307277,0.341468,0.307277,0.341468,0.324373,0.317534,0.331211
65,0.3625,0.35377,0.3625,0.35377,0.358135,0.359881,0.356389
66,0.375,0.326488,0.375,0.326488,0.350744,0.360446,0.341042
67,0.3625,0.344841,0.3625,0.344841,0.353671,0.357202,0.350139
68,0.318122,0.097778,0.318122,0.097778,0.20795,0.252019,0.163881
69,0.373556,0.276301,0.373556,0.276301,0.324929,0.34438,0.305477
70,0.321053,0.137989,0.321053,0.137989,0.229521,0.266133,0.192908
71,0.327257,0.08729,0.327257,0.08729,0.207273,0.255267,0.15928
72,0.309524,0.323098,0.309524,0.323098,0.316311,0.313596,0.319026
73,0.269231,0.104848,0.269231,0.104848,0.18704,0.219916,0.154163
74,0.361111,0.180202,0.361111,0.180202,0.270657,0.306838,0.234475
75,0.358025,0.423958,0.358025,0.423958,0.390992,0.377805,0.404178
76,0.321991,0.425311,0.321991,0.425311,0.373651,0.352987,0.394315
77,0.355284,0.23779,0.355284,0.23779,0.296537,0.320036,0.273038
78,0.333333,0.368386,0.333333,0.368386,0.35086,0.343849,0.35787
79,0.421739,0.29861,0.421739,0.29861,0.360175,0.3848,0.335549
80,0.34375,0.274004,0.34375,0.274004,0.308877,0.322826,0.294928
81,0.376435,0.262193,0.376435,0.262193,0.319314,0.342163,0.296466
82,0.337121,0.241947,0.337121,0.241947,0.289534,0.308569,0.270499
83,0.270975,0.275909,0.270975,0.275909,0.273442,0.272455,0.274429
84,0.309524,0.238887,0.309524,0.238887,0.274205,0.288333,0.260078
85,0.318182,0.116667,0.318182,0.116667,0.217424,0.257727,0.177121
86,0.256944,0.057407,0.256944,0.057407,0.157176,0.197083,0.117269
87,0.320146,0.333175,0.320146,0.333175,0.326661,0.324055,0.329267
88,0.324219,0.200476,0.324219,0.200476,0.262348,0.287096,0.237599
89,0.413611,0.2125,0.413611,0.2125,0.313056,0.353278,0.272833
90,0.330556,0.363533,0.330556,0.363533,0.347044,0.340449,0.35364
91,0.35,0.348148,0.35,0.348148,0.349074,0.349444,0.348704
92,0.36684,0.354132,0.36684,0.354132,0.360486,0.363028,0.357944
93,0.424098,0.372732,0.424098,0.372732,0.398415,0.408688,0.388142
94,0.34242,0.229497,0.34242,0.229497,0.285959,0.308543,0.263374
95,0.306706,0.251091,0.306706,0.251091,0.278899,0.290022,0.267776
96,0.327206,0.182044,0.327206,0.182044,0.254625,0.283657,0.225592
97,0.295679,0.116903,0.295679,0.116903,0.206291,0.242046,0.170536
98,0.358333,0.07967,0.358333,0.07967,0.219002,0.274734,0.163269
99,0.333333,0.386344,0.333333,0.386344,0.359838,0.349236,0.370441
100,0.316825,0.347339,0.316825,0.347339,0.332082,0.325979,0.338185
101,0.346328,0.307553,0.346328,0.307553,0.326941,0.334696,0.319186
102,0.284829,0.280566,0.284829,0.280566,0.282698,0.28355,0.281845
103,0.298611,0.348485,0.298611,0.348485,0.323548,0.313573,0.333523
104,0.292484,0.191043,0.292484,0.191043,0.241764,0.262052,0.221476
105,0.341667,0.2875,0.341667,0.2875,0.314583,0.325417,0.30375
106,0.324331,0.303431,0.324331,0.303431,0.313881,0.318061,0.309701
107,0.331287,0.243337,0.331287,0.243337,0.287312,0.304902,0.269722
108,0.286111,0.169841,0.286111,0.169841,0.227976,0.25123,0.204722
109,0.344957,0.07746,0.344957,0.07746,0.211209,0.264708,0.157709
110,0.360268,0.337847,0.360268,0.337847,0.349058,0.353542,0.344573
111,0.341667,0.217956,0.341667,0.217956,0.279812,0.304554,0.255069
112,0.407563,0.232176,0.407563,0.232176,0.319869,0.354947,0.284792
113,0.323529,0.275779,0.323529,0.275779,0.299654,0.309204,0.290104
114,0.27193,0.066538,0.27193,0.066538,0.169234,0.210312,0.128156
115,0.322827,0.413668,0.322827,0.413668,0.368247,0.350079,0.386416
116,0.357033,0.38465,0.357033,0.38465,0.370842,0.365318,0.376365
117,0.307692,0.324229,0.307692,0.324229,0.315961,0.312653,0.319268
118,0.344709,0.111361,0.344709,0.111361,0.228035,0.274704,0.181365
119,0.389323,0.225,0.389323,0.225,0.307161,0.340026,0.274297
120,0.315385,0.218337,0.315385,0.218337,0.266861,0.28627,0.247451
121,0.355556,0.107888,0.355556,0.107888,0.231722,0.281255,0.182189
122,0.299074,0.150654,0.299074,0.150654,0.224864,0.254548,0.19518
123,0.357639,0.28557,0.357639,0.28557,0.321604,0.336018,0.307191
124,0.328205,0.23354,0.328205,0.23354,0.280873,0.299806,0.26194
125,0.275628,0.311448,0.275628,0.311448,0.293538,0.286374,0.300702
126,0.292888,0.310175,0.292888,0.310175,0.301531,0.298074,0.304989
127,0.305668,0.360556,0.305668,0.360556,0.333112,0.322134,0.34409
128,0.327751,0.421847,0.327751,0.421847,0.374799,0.355979,0.393618
129,0.360317,0.360941,0.360317,0.360941,0.360629,0.360505,0.360754
130,0.333333,0.323647,0.333333,0.323647,0.32849,0.330427,0.326553
131,0.314286,0.424647,0.314286,0.424647,0.369466,0.347394,0.391539
132,0.34375,0.405967,0.34375,0.405967,0.374859,0.362415,0.387302
133,0.333333,0.346201,0.333333,0.346201,0.339767,0.337194,0.34234
134,0.291667,0.309455,0.291667,0.309455,0.300561,0.297003,0.304119
135,0.358001,0.309736,0.358001,0.309736,0.333869,0.343522,0.324216
136,0.343114,0.313215,0.343114,0.313215,0.328164,0.334144,0.322185
137,0.327206,0.379274,0.327206,0.379274,0.35324,0.342826,0.363653
138,0.361111,0.343235,0.361111,0.343235,0.352173,0.355748,0.348598
139,0.312135,0.251703,0.312135,0.251703,0.281919,0.294005,0.269832
140,0.393981,0.309509,0.393981,0.309509,0.351745,0.36864,0.33485
141,0.366667,0.364985,0.366667,0.364985,0.365826,0.366162,0.365489
142,0.393162,0.258614,0.393162,0.258614,0.325888,0.352798,0.298979
143,0.31903,0.24598,0.31903,0.24598,0.282505,0.297115,0.267895
144,0.339205,0.388774,0.339205,0.388774,0.363989,0.354075,0.373903
145,0.360075,0.304606,0.360075,0.304606,0.33234,0.343434,0.321247
146,0.318502,0.278821,0.318502,0.278821,0.298662,0.306598,0.290725
147,0.473462,0.289946,0.473462,0.289946,0.381704,0.418407,0.345001
148,0.32375,0.223148,0.32375,0.223148,0.273449,0.293569,0.253329
149,0.285714,0.349784,0.285714,0.349784,0.317749,0.304935,0.330563
150,0.273529,0.391452,0.273529,0.391452,0.332491,0.308906,0.356075
151,0.291667,0.347346,0.291667,0.347346,0.319506,0.308371,0.330642
152,0.3,0.282427,0.3,0.282427,0.291214,0.294728,0.287699
153,0.283951,0.301204,0.283951,0.301204,0.292577,0.289127,0.296028
154,0.334091,0.336519,0.334091,0.336519,0.335305,0.334819,0.335791
155,0.305861,0.378107,0.305861,0.378107,0.341984,0.327535,0.356433
156,0.333333,0.298679,0.333333,0.298679,0.316006,0.322937,0.309075
