SentenceID,NounScore,VerbScore,"Noun Only   (1.0, 0.0)","Verb Only   (0.0, 1.0)","Equal       (0.5, 0.5)","Noun-heavy  (0.7, 0.3)","Verb-heavy  (0.3, 0.7)"
1,0.250423,0.495133,0.250423,0.495133,0.372778,0.323836,0.42172
2,0.296093,0.436275,0.296093,0.436275,0.366184,0.338147,0.39422
3,0.358186,0.501667,0.358186,0.501667,0.429926,0.40123,0.458622
4,0.381944,0.402469,0.381944,0.402469,0.392207,0.388102,0.396312
5,0.091644,0.65416,0.091644,0.65416,0.372902,0.260399,0.485405
6,0.252336,0.427059,0.252336,0.427059,0.339698,0.304753,0.374642
7,0.390741,0.835897,0.390741,0.835897,0.613319,0.524288,0.70235
8,0.366667,0.0,0.366667,0.0,0.183333,0.256667,0.11
9,0.378788,0.666667,0.378788,0.666667,0.522727,0.465152,0.580303
10,0.38447,0.211508,0.38447,0.211508,0.297989,0.332581,0.263396
11,0.174603,0.390556,0.174603,0.390556,0.282579,0.239389,0.32577
12,0.35,0.085952,0.35,0.085952,0.217976,0.270786,0.165167
13,0.416667,0.777778,0.416667,0.777778,0.597222,0.525,0.669444
14,0.399306,0.51363,0.399306,0.51363,0.456468,0.433603,0.479332
15,0.411757,0.721739,0.411757,0.721739,0.566748,0.504752,0.628745
16,0.35,0.84058,0.35,0.84058,0.59529,0.497174,0.693406
17,0.344156,0.519355,0.344156,0.519355,0.431755,0.396716,0.466795
18,0.26,0.6,0.26,0.6,0.43,0.362,0.498
19,0.157143,0.564871,0.157143,0.564871,0.361007,0.279461,0.442553
20,0.375,0.68,0.375,0.68,0.5275,0.4665,0.5885
21,0.276224,0.593561,0.276224,0.593561,0.434892,0.371425,0.49836
22,0.363636,0.729167,0.363636,0.729167,0.546402,0.473295,0.619508
23,0.375,0.766667,0.375,0.766667,0.570833,0.4925,0.649167
24,0.375,0.766667,0.375,0.766667,0.570833,0.4925,0.649167
25,0.194444,0.566597,0.194444,0.566597,0.380521,0.30609,0.454951
26,0.326389,0.806362,0.326389,0.806362,0.566375,0.470381,0.66237
27,0.388889,0.825,0.388889,0.825,0.606944,0.519722,0.694167
