SentenceID,NounScore,VerbScore,"Noun Only   (1.0, 0.0)","Verb Only   (0.0, 1.0)","Equal       (0.5, 0.5)","Noun-heavy  (0.7, 0.3)","Verb-heavy  (0.3, 0.7)"
1,0.167857,0.487981,0.167857,0.487981,0.327919,0.263894,0.391944
2,0.154762,0.611113,0.154762,0.611113,0.382937,0.291667,0.474207
3,0.241342,0.412865,0.241342,0.412865,0.327104,0.292799,0.361408
4,0.18588,0.221866,0.18588,0.221866,0.203873,0.196676,0.21107
5,0.277778,0.726712,0.277778,0.726712,0.502245,0.412458,0.592032
6,0.2,0.341548,0.2,0.341548,0.270774,0.242464,0.299083
7,0.291667,0.55043,0.291667,0.55043,0.421049,0.369296,0.472801
8,0.216667,0.523618,0.216667,0.523618,0.370143,0.308752,0.431533
9,0.378788,0.712821,0.378788,0.712821,0.545804,0.478998,0.612611
10,0.12197,0.952963,0.12197,0.952963,0.537466,0.371268,0.703665
11,0.166667,0.624054,0.166667,0.624054,0.39536,0.303883,0.486838
12,0.25,0.409231,0.25,0.409231,0.329615,0.297769,0.361462
13,0.264306,0.346062,0.264306,0.346062,0.305184,0.288832,0.321535
14,0.384343,0.400493,0.384343,0.400493,0.392418,0.389188,0.395648
15,0.240741,0.399444,0.240741,0.399444,0.320093,0.288352,0.351833
16,0.164583,0.35338,0.164583,0.35338,0.258982,0.221222,0.296741
17,0.1,0.566286,0.1,0.566286,0.333143,0.239886,0.4264
18,0.061111,0.542107,0.061111,0.542107,0.301609,0.20541,0.397808
19,0.35,0.677778,0.35,0.677778,0.513889,0.448333,0.579444
20,0.208333,0.360952,0.208333,0.360952,0.284643,0.254119,0.315167
21,0.284545,0.408102,0.284545,0.408102,0.346324,0.321612,0.371035
22,0.24026,0.045119,0.24026,0.045119,0.142689,0.181718,0.103661
23,0.216667,0.301282,0.216667,0.301282,0.258974,0.242051,0.275897
24,0.181818,0.149924,0.181818,0.149924,0.165871,0.17225,0.159492
25,0.274691,0.619208,0.274691,0.619208,0.44695,0.378046,0.515853
26,0.0875,0.529406,0.0875,0.529406,0.308453,0.220072,0.396834
27,0.175926,0.781181,0.175926,0.781181,0.478554,0.357503,0.599605
28,0.125,0.439503,0.125,0.439503,0.282252,0.219351,0.345152
29,0.231481,0.025,0.231481,0.025,0.128241,0.169537,0.086944
30,0.22037,0.094265,0.22037,0.094265,0.157317,0.182539,0.132096
31,0.143357,0.547201,0.143357,0.547201,0.345279,0.26451,0.426048
32,0.162338,0.883761,0.162338,0.883761,0.523049,0.378765,0.667334
33,0.243192,0.985361,0.243192,0.985361,0.614276,0.465842,0.76271
