SentenceID,NounScore,VerbScore,"Noun Only   (1.0, 0.0)","Verb Only   (0.0, 1.0)","Equal       (0.5, 0.5)","Noun-heavy  (0.7, 0.3)","Verb-heavy  (0.3, 0.7)"
1,0.164444,0.696253,0.164444,0.696253,0.430349,0.323987,0.53671
2,0.157143,0.735086,0.157143,0.735086,0.446115,0.330526,0.561703
3,0.186834,0.386667,0.186834,0.386667,0.28675,0.246784,0.326717
4,0.298611,0.110802,0.298611,0.110802,0.204707,0.242269,0.167145
5,0.24188,0.324444,0.24188,0.324444,0.283162,0.26665,0.299675
6,0.184398,0.073598,0.184398,0.073598,0.128998,0.151158,0.106838
7,0.319409,0.559473,0.319409,0.559473,0.439441,0.391428,0.487454
8,0.3,0.16,0.3,0.16,0.23,0.258,0.202
9,0.203734,0.419829,0.203734,0.419829,0.311781,0.268562,0.355
10,0.17197,0.932804,0.17197,0.932804,0.552387,0.40022,0.704554
11,0.388889,0.656762,0.388889,0.656762,0.522825,0.469251,0.5764
12,0.321834,0.189029,0.321834,0.189029,0.255432,0.281993,0.228871
13,0.306481,0.324464,0.306481,0.324464,0.315473,0.311876,0.319069
14,0.353851,0.830363,0.353851,0.830363,0.592107,0.496805,0.68741
15,0.294733,0.506673,0.294733,0.506673,0.400703,0.358315,0.443091
16,0.199841,0.564786,0.199841,0.564786,0.382314,0.309325,0.455303
17,0.186153,0.507556,0.186153,0.507556,0.346854,0.282574,0.411135
18,0.311038,0.659611,0.311038,0.659611,0.485325,0.41561,0.555039
19,0.351779,0.666667,0.351779,0.666667,0.509223,0.446245,0.5722
20,0.258631,0.027619,0.258631,0.027619,0.143125,0.189327,0.096923
21,0.381589,0.75,0.381589,0.75,0.565795,0.492113,0.639477
22,0.26654,0.320837,0.26654,0.320837,0.293688,0.282829,0.304548
23,0.142045,0.07265,0.142045,0.07265,0.107348,0.121227,0.093468
24,0.146081,0.344902,0.146081,0.344902,0.245492,0.205728,0.285256
25,0.253704,0.510714,0.253704,0.510714,0.382209,0.330807,0.433611
26,0.273551,0.545238,0.273551,0.545238,0.409394,0.355057,0.463732
27,0.217593,0.638333,0.217593,0.638333,0.427963,0.343815,0.512111
28,0.25,0.797619,0.25,0.797619,0.52381,0.414286,0.633333
29,0.055556,0.218333,0.055556,0.218333,0.136944,0.104389,0.1695
30,0.140542,0.011538,0.140542,0.011538,0.07604,0.101841,0.05024
31,0.243019,0.778549,0.243019,0.778549,0.510784,0.403678,0.61789
32,0.200577,0.417436,0.200577,0.417436,0.309007,0.265635,0.352378
33,0.185185,0.706496,0.185185,0.706496,0.44584,0.341578,0.550103
34,0.199644,0.728649,0.199644,0.728649,0.464146,0.358345,0.569947
35,0.140432,0.312927,0.140432,0.312927,0.22668,0.192181,0.261179
36,0.142857,0.08,0.142857,0.08,0.111429,0.124,0.098857
37,0.0625,0.261571,0.0625,0.261571,0.162036,0.122221,0.20185
38,0.2625,0.373333,0.2625,0.373333,0.317917,0.29575,0.340083
39,0.205357,0.046154,0.205357,0.046154,0.125755,0.157596,0.093915
40,0.200216,0.074177,0.200216,0.074177,0.137197,0.162405,0.111989
