dataset,ie_system,model,num_triples,num_entities,num_relations,time_s,MRR,Hits@1,Hits@3,Hits@10,MR,error
WebNLG,claude,TuckER,2701,1418.0,624.0,122.8,0.3311,0.2542,0.3729,0.4661,299.19,
WebNLG,claude,ComplEx,2701,1418.0,624.0,16.9,0.0039,0.0,0.0,0.0056,682.31,
WebNLG,claude,NodePiece,2701,1418.0,624.0,14.4,0.0082,0.0,0.0028,0.0254,654.67,
WebNLG,gemini,TuckER,3208,1306.0,741.0,129.3,0.2631,0.1846,0.3208,0.4176,316.36,
WebNLG,gemini,ComplEx,3208,1306.0,741.0,18.9,0.0036,0.0,0.0,0.0018,640.78,
WebNLG,gemini,NodePiece,3208,1306.0,741.0,20.0,0.0138,0.0036,0.0036,0.0233,428.1,
WebNLG,gpt4,TuckER,2569,297.0,90.0,30.5,0.4283,0.2761,0.4888,0.7612,15.65,
WebNLG,gpt4,ComplEx,2569,297.0,90.0,13.5,0.0241,0.0,0.0075,0.041,100.39,
WebNLG,gpt4,NodePiece,2569,297.0,90.0,12.8,0.0384,0.0037,0.0261,0.0709,107.57,
WebNLG,stanford_4.5.3,TuckER,5348,2264.0,556.0,221.8,0.1788,0.134,0.1947,0.266,633.52,
WebNLG,stanford_4.5.3,ComplEx,5348,2264.0,556.0,26.8,0.0043,0.0,0.0032,0.0106,1093.34,
WebNLG,stanford_4.5.3,NodePiece,5348,2264.0,556.0,25.6,0.0239,0.0096,0.0181,0.034,594.65,
WebNLG,stanford_4.5.6,TuckER,5356,2182.0,499.0,220.8,0.2113,0.158,0.236,0.3139,509.24,
WebNLG,stanford_4.5.6,ComplEx,5356,2182.0,499.0,23.9,0.0026,0.0,0.0,0.0021,1044.95,
WebNLG,stanford_4.5.6,NodePiece,5356,2182.0,499.0,25.2,0.017,0.0031,0.0073,0.0301,554.16,
WebNLG,clauseie,TuckER,1584,1366.0,164.0,84.6,0.1422,0.0902,0.1639,0.2213,418.7,
WebNLG,clauseie,ComplEx,1584,1366.0,164.0,17.2,0.0091,0.0,0.0082,0.0082,572.3,
WebNLG,clauseie,NodePiece,1584,1366.0,164.0,15.6,0.0169,0.0082,0.0082,0.0082,496.88,
WebNLG,minie,TuckER,2158,1188.0,480.0,101.6,0.1152,0.0679,0.1327,0.1883,416.71,
WebNLG,minie,ComplEx,2158,1188.0,480.0,16.2,0.0085,0.0,0.0093,0.0123,570.49,
WebNLG,minie,NodePiece,2158,1188.0,480.0,13.9,0.0075,0.0,0.0,0.0185,543.23,
WebNLG,ollie,TuckER,3340,1803.0,820.0,160.6,0.1486,0.1092,0.1628,0.2222,569.71,
WebNLG,ollie,ComplEx,3340,1803.0,820.0,19.3,0.0032,0.0,0.0,0.0057,854.83,
WebNLG,ollie,NodePiece,3340,1803.0,820.0,20.3,0.0091,0.0,0.0038,0.0153,632.33,
