model,dataset,time_s,MRR,Hits@1,Hits@3,Hits@10,MR
TuckER,FB15k-237,453.9,0.1662,0.1045,0.1798,0.2899,674.9
ComplEx,FB15k-237,638.6,0.0344,0.0167,0.0326,0.0652,2862.75
NodePiece,FB15k-237,786.0,0.0454,0.0162,0.0393,0.0937,1486.97
TuckER,WN18RR,294.4,0.3167,0.2821,0.3376,0.3759,7632.41
ComplEx,WN18RR,281.3,0.0099,0.0024,0.0048,0.0183,12996.3
NodePiece,WN18RR,265.8,0.0252,0.0002,0.0195,0.066,3432.62
TuckER,Nations,7.6,0.3985,0.2015,0.4428,0.9453,4.52
ComplEx,Nations,8.3,0.3711,0.1617,0.4328,0.9378,4.73
NodePiece,Nations,13.3,0.3596,0.1194,0.3856,0.9876,4.24
TuckER,Kinships,24.5,0.6946,0.554,0.7919,0.9665,2.89
ComplEx,Kinships,27.7,0.0711,0.0135,0.0493,0.1662,38.92
NodePiece,Kinships,34.1,0.0554,0.0135,0.0382,0.1075,45.09
